DATE,TIME,HOME TEAM,AWAY TEAM,HOME PER,DRAW PER,AWAY PER,UNDER 2.5,OVER 2.5,BTS,OTS,NAME
2025.14.10,11:30,Chinese Taipei , Thailand,10.0,10.0,79.0,31.0,69.0,30.0,70.0,ACC
2025.14.10,11:30,Myanmar , Syria,10.0,10.0,79.0,29.0,71.0,63.0,37.0,ACC
2025.14.10,13:00,Hong Kong , Bangladesh,79.0,10.0,10.0,65.0,35.0,43.0,57.0,ACC
2025.14.10,13:00,Philippines , Timor Leste,71.0,14.0,14.0,29.0,71.0,27.0,73.0,ACC
2025.14.10,13:30,Nepal , Vietnam,12.0,12.0,75.0,39.0,61.0,28.0,72.0,ACC
2025.14.10,14:00,Malaysia , Laos,71.0,14.0,14.0,32.0,68.0,39.0,61.0,ACC
2025.14.10,15:00,India , Singapore,57.0,21.0,21.0,67.0,33.0,43.0,57.0,ACC
2025.14.10,16:00,Afghanistan , Pakistan,57.0,21.0,21.0,67.0,33.0,28.0,72.0,ACC
2025.14.10,17:00,Bhutan , Lebanon,15.0,15.0,69.0,40.0,60.0,43.0,57.0,ACC
2025.14.10,18:00,Yemen , Brunei,74.0,13.0,13.0,34.0,66.0,44.0,56.0,ACC
2025.14.10,14:00,Seychelles , Gambia,11.0,11.0,77.0,31.0,69.0,33.0,67.0,ACC
2025.14.10,17:00,Guinea , Botswana,63.0,18.0,18.0,70.0,30.0,38.0,62.0,ACC
2025.14.10,17:00,Somalia , Mozambique,11.0,11.0,77.0,60.0,40.0,34.0,66.0,ACC
2025.14.10,17:00,Algeria , Uganda,58.0,21.0,21.0,61.0,39.0,36.0,64.0,ACC
2025.14.10,17:00,Nigeria , Benin,75.0,12.0,12.0,64.0,36.0,37.0,63.0,ACC
2025.14.10,17:00,South Africa , Rwanda,70.0,15.0,15.0,64.0,36.0,31.0,69.0,ACC
2025.14.10,20:00,DR Congo , Sudan,71.0,14.0,14.0,63.0,37.0,39.0,61.0,ACC
2025.14.10,20:00,Gabon , Burundi,77.0,11.0,11.0,67.0,33.0,39.0,61.0,ACC
2025.14.10,20:00,Ivory Coast , Kenya,76.0,12.0,12.0,61.0,39.0,38.0,62.0,ACC
2025.14.10,20:00,Morocco , Congo,72.0,14.0,14.0,34.0,66.0,33.0,67.0,ACC
2025.14.10,20:00,Senegal , Mauritania,76.0,12.0,12.0,38.0,62.0,39.0,61.0,ACC
2025.14.10,18:00,Qatar , United Arab Emirates,67.0,16.0,16.0,64.0,36.0,28.0,72.0,ACC
2025.14.10,19:45,Saudi Arabia , Iraq,62.0,19.0,19.0,68.0,32.0,43.0,57.0,ACC
2025.14.10,10:00,Ugyen Academy , BFF Academy U20,19.0,19.0,61.0,29.0,71.0,70.0,30.0,ACC
2025.14.10,01:30,CRB , Ferroviaria,61.0,19.0,19.0,61.0,39.0,38.0,62.0,ACC
2025.14.10,23:30,Chapecoense , Botafogo SP,67.0,16.0,16.0,71.0,29.0,33.0,67.0,ACC
2025.14.10,23:30,Paysandu , Remo,24.0,51.0,24.0,40.0,60.0,70.0,30.0,ACC
2025.14.10,00:00,San Luis , Recoleta,44.0,28.0,28.0,36.0,64.0,67.0,33.0,ACC
2025.14.10,01:30,Fortaleza CEIF , Boyaca Chico,62.0,19.0,19.0,69.0,31.0,40.0,60.0,ACC
2025.14.10,19:00,Blackpool , Nottm Forest U21,78.0,11.0,11.0,35.0,65.0,71.0,29.0,ACC
2025.14.10,19:00,Crewe , Liverpool U21,70.0,15.0,15.0,32.0,68.0,65.0,35.0,ACC
2025.14.10,19:30,Bradford , Everton U21,70.0,15.0,15.0,40.0,60.0,60.0,40.0,ACC
2025.14.10,17:00,Estonia , Moldova,65.0,17.0,17.0,68.0,32.0,33.0,67.0,ACC
2025.14.10,19:45,Andorra , Serbia,12.0,12.0,76.0,64.0,36.0,28.0,72.0,ACC
2025.14.10,19:45,Italy , Israel,76.0,12.0,12.0,36.0,64.0,35.0,65.0,ACC
2025.14.10,19:45,Latvia , England,12.0,12.0,75.0,40.0,60.0,36.0,64.0,ACC
2025.14.10,19:45,Portugal , Hungary,79.0,10.0,10.0,31.0,69.0,72.0,28.0,ACC
2025.14.10,19:45,Rep of Ireland , Armenia,73.0,13.0,13.0,63.0,37.0,40.0,60.0,ACC
2025.14.10,19:45,Spain , Bulgaria,76.0,12.0,12.0,32.0,68.0,28.0,72.0,ACC
2025.14.10,19:45,Türkiye , Georgia,78.0,11.0,11.0,37.0,63.0,63.0,37.0,ACC
