DATE,TIME,HOME TEAM,AWAY TEAM,HOME PER,DRAW PER,AWAY PER,UNDER 2.5,OVER 2.5,BTS,OTS,NAME
2025-10-16,15:00,MO Bejaia,IB Khémis El Khechna,82,13,5,40,60,35,65,BCL
2025-10-16,00:00,Mirassol,Internacional,46,29,25,42,58,53,47,BCL
2025-10-16,00:00,Sport Recife,Ceara,41,30,29,62,38,45,55,BCL
2025-10-16,01:30,Atletico Mineiro,Cruzeiro,31,31,38,66,34,43,57,BCL
2025-10-16,01:30,Fortaleza,Vasco da Gama,44,28,28,42,58,53,47,BCL
2025-10-16,01:30,Santos,Corinthians,44,31,25,67,33,41,59,BCL
2025-10-16,23:00,Gremio,Sao Paulo,32,29,39,66,34,42,58,BCL
2025-10-16,00:20,Deportivo Pereira,Millonarios,42,29,29,63,37,43,57,BCL
2025-10-16,02:20,America de Cali,Junior,50,28,22,61,39,43,57,BCL
2025-10-16,02:30,AD San Carlos,Deportivo Saprissa,22,23,55,49,51,53,47,BCL
2025-10-16,03:00,Cartagines,Guadalupe FC,66,21,13,42,58,55,45,BCL
2025-10-16,17:30,Esbjerg,Hobro IK,52,23,25,41,59,63,37,BCL
2025-10-16,21:00,Atlético Vinotinto,Chacaritas,74,19,7,56,44,34,66,BCL
2025-10-16,21:00,Ind. Juniors,Gualaceo SC,31,35,34,67,33,42,58,BCL
2025-10-16,13:30,Olympic El Qanah,El Entag EL Harby,51,29,20,66,34,39,61,BCL
2025-10-16,13:30,El Dakhleya,Abu Qair Semad,26,29,45,69,31,38,62,BCL
2025-10-16,13:30,Aswan Sc,Asyut Petrol,43,29,28,73,27,38,62,BCL
2025-10-16,13:30,Maleyet Kafr El Zayiat,Tanta SC,29,40,31,73,27,38,62,BCL
2025-10-16,16:00,Masar,El Seka El Hadid,45,31,24,73,27,35,65,BCL
2025-10-16,18:00,Itesalat,Tersana,45,30,25,65,35,39,61,BCL
2025-10-16,20:00,Huddersfield,Bolton,30,36,34,45,55,61,39,BCL
2025-10-16,00:00,Argentina U20,Colombia U20,54,28,18,66,34,39,61,BCL
2025-10-16,16:00,FC Ilves,KuPS Kuopio,51,20,29,33,67,69,31,BCL
2025-10-16,03:00,Marquense,Antigua GFC,30,38,32,54,46,59,41,BCL
2025-10-16,02:30,CD Marathon,Real Espana,46,27,27,44,56,57,43,BCL
2025-10-16,13:00,Dewa United,Persepam Madura Utd,66,21,13,60,40,42,58,BCL
2025-10-16,16:00,GOR Mahia,APS Bomet,75,20,5,63,37,42,58,BCL
2025-10-16,04:00,CDS Tampico Madero,Mineros de Zacatecas,41,28,31,59,41,38,62,BCL
2025-10-16,16:20,Al-Khabourah,Al-Nahda,14,27,59,65,35,37,63,BCL
2025-10-16,22:30,General Caballero JLM,Club Atlético Tembetary,54,27,19,59,41,43,57,BCL
2025-10-16,02:00,Sporting Cristal,Universitario de Deportes,25,32,43,40,60,53,47,BCL
2025-10-16,18:30,FK Csikszereda Miercurea Ciuc,CFR Cluj,18,23,59,43,57,57,43,BCL
2025-10-16,15:30,Fakel,Ural,32,35,33,59,41,38,62,BCL
2025-10-16,15:30,Torpedo Moskva,Veles,62,23,15,51,49,44,56,BCL
2025-10-16,18:00,Chernomorets,Kuban Kholding,64,22,14,45,55,54,46,BCL
2025-10-16,17:45,Atletico Madrid (W),Man Utd (W),29,37,34,43,57,61,39,BCL
2025-10-16,20:00,Bayern Munich (W),Juventus (W),69,17,14,35,65,57,43,BCL
2025-10-16,20:00,PSG (W),Real Madrid (W),27,38,35,35,65,66,34,BCL
2025-10-16,20:00,Benfica (W),Arsenal (W),5,13,82,29,71,43,57,BCL
2025-10-16,01:00,Defensor Sporting,Penarol,20,29,51,67,33,39,61,BCL
2025-10-16,03:00,Orange County SC,San Antonio,46,25,29,57,43,39,61,BCL
2025-10-16,15:30,Nasaf,Kokand-1912,79,16,5,59,41,36,64,BCL
