DATE,TIME,HOME TEAM,AWAY TEAM,HOME PER,DRAW PER,AWAY PER,UNDER 2.5,OVER 2.5,BTS,OTS,NAME
16/10/2025,0:00,Mirassol SP,Internacional,34,49,18,43,57,54,46,Forebet
16/10/2025,0:00,Sport Recife,Ceará SC,24,39,37,22,78,41,59,Forebet
16/10/2025,0:00,Corinthians W,Ferroviária W,46,35,19,56,44,63,37,Forebet
16/10/2025,0:20,Deportivo Pereira,Millonarios,33,37,31,46,54,40,60,Forebet
16/10/2025,0:30,CD Marathón,Real España,35,43,23,46,54,64,36,Forebet
16/10/2025,1:00,Managua FC,Real Madriz,73,16,11,75,25,69,31,Forebet
16/10/2025,1:30,Santos,Corinthians,32,36,31,39,61,51,49,Forebet
16/10/2025,1:30,Atlético Mineiro,Cruzeiro,27,34,38,51,49,58,42,Forebet
16/10/2025,1:30,Fortaleza,Vasco da Gama,26,34,41,41,59,43,57,Forebet
16/10/2025,16/10/2025,Sporting Cristal,Universitario,25,32,43,52,48,66,34,Forebet
16/10/2025,2:00,Gomerano,San Pedro,55,25,20,55,45,68,32,Forebet
16/10/2025,2:00,Atlas W,América W,29,30,41,35,65,49,51,Forebet
16/10/2025,2:20,América de Cali,Junior Barranquilla,38,33,29,45,55,48,52,Forebet
16/10/2025,2:30,San Carlos,Saprissa,17,21,63,66,34,65,35,Forebet
16/10/2025,3:00,CS Cartaginés,Guadalupe FC,53,32,16,50,50,41,59,Forebet
16/10/2025,3:00,CD Marquense,Antigua GFC,28,27,46,52,48,54,46,Forebet
16/10/2025,3:00,Orange County SC,San Antonio FC,34,35,31,38,62,55,45,Forebet
16/10/2025,3:00,AFF Guatemala,Cotzumalguapa,38,25,37,48,52,44,56,Forebet
16/10/2025,3:00,Huehuetecos,Aguacatán,31,40,29,32,68,51,49,Forebet
16/10/2025,4:00,Tampico Madero,Zacatecas,46,32,22,78,22,74,26,Forebet
16/10/2025,11:00,FK Taraz,AKAS,35,30,36,67,33,72,28,Forebet
16/10/2025,11:30,Difai Agsu,Shahdagh Qusar,30,32,38,27,73,29,71,Forebet
16/10/2025,11:30,Energetik Mingachevir,Şimal,39,36,25,30,70,31,69,Forebet
16/10/2025,11:30,MOIK Baku,Cəbrayıl,54,24,21,43,57,39,61,Forebet
16/10/2025,12:00,FC Ahal,Kopetdag Asgabat,62,27,11,91,9,76,24,Forebet
16/10/2025,12:00,Akademiya Ontustik,Zhetisay,44,20,36,53,47,66,34,Forebet
16/10/2025,12:30,Mika Yerevan,Araks Ararat,37,29,34,33,67,36,64,Forebet
16/10/2025,12:30,Van 2,Noah II,34,38,28,43,57,26,74,Forebet
16/10/2025,13:00,Dewa United,Madura United FC,36,42,22,63,37,62,38,Forebet
16/10/2025,13:00,Timok Zajecar,Morava Cuprija,23,41,35,45,55,39,61,Forebet
16/10/2025,13:30,Mighty Wanderers,Ekhaya,59,25,16,23,77,38,62,Forebet
16/10/2025,13:30,Al Qanah,Al Intagh Al Harbi,38,44,18,33,67,52,48,Forebet
16/10/2025,13:30,Dakhleya,Abu Qair Lel Asmeda,15,36,49,38,62,42,58,Forebet
16/10/2025,13:30,Aswan FC,Petrol Asyut,29,42,28,22,78,20,80,Forebet
16/10/2025,13:30,Maleyeit Kafr El Zayiat,Tanta FC,31,43,26,20,80,51,49,Forebet
16/10/2025,14:00,Buhimba United Saints,Kitara FC,36,40,24,18,82,51,49,Forebet
16/10/2025,14:00,Calvary,Vipers SC,25,31,44,21,79,28,72,Forebet
16/10/2025,14:00,Khan Tengri,FK Ekibastuz,33,25,43,47,53,44,56,Forebet
16/10/2025,14:00,Asiagoal,Muras United,18,25,57,30,70,46,54,Forebet
16/10/2025,15:00,MO Béjaïa,IB Khemis Khechna,50,26,24,23,77,37,63,Forebet
16/10/2025,15:00,Urartu-2,Shirak-2,47,35,19,78,22,68,32,Forebet
16/10/2025,15:30,Nasaf Qarshi,Qoqon FK,54,29,17,48,52,49,51,Forebet
