DATE,TIME,HOME TEAM,AWAY TEAM,HOME PER,DRAW PER,AWAY PER,UNDER 2.5,OVER 2.5,BTS,OTS,NAME
16/10/25,15:00,MO Bejaia,IB Khémis El Khechna,89,4,7,32,68,59,41,FST
16/10/25,00:00,Mirassol,Internacional,50,27,23,37,63,54,46,FST
16/10/25,00:00,Sport Recife,Ceara,45,31,24,67,33,40,60,FST
16/10/25,01:30,Atletico Mineiro,Cruzeiro,29,52,19,72,28,34,66,FST
16/10/25,01:30,Fortaleza,Vasco da Gama,52,30,18,33,67,60,40,FST
16/10/25,01:30,Santos,Corinthians,51,27,22,75,25,31,69,FST
16/10/25,23:00,Gremio,Sao Paulo,33,47,20,74,26,34,66,FST
16/10/25,00:20,Deportivo Pereira,Millonarios,46,32,22,68,32,36,64,FST
16/10/25,02:20,America de Cali,Junior,54,21,25,66,34,38,62,FST
16/10/25,02:30,AD San Carlos,Deportivo Saprissa,31,7,62,39,61,57,43,FST
16/10/25,03:00,Cartagines,Guadalupe FC,72,10,18,36,64,69,31,FST
16/10/25,17:30,Esbjerg,Hobro IK,57,15,28,36,64,72,28,FST
16/10/25,21:00,Atlético Vinotinto,Chacaritas,81,5,14,64,36,32,68,FST
16/10/25,21:00,Ind. Juniors,Gualaceo SC,18,49,33,74,26,69,31,FST
16/10/25,20:00,Huddersfield,Bolton,30,50,20,40,60,73,27,FST
16/10/25,00:00,Argentina U20,Colombia U20,58,20,22,71,29,32,68,FST
16/10/25,16:00,FC Ilves,KuPS Kuopio,59,8,33,25,75,81,19,FST
16/10/25,02:30,CD Marathon,Real Espana,53,32,15,63,37,42,58,FST
16/10/25,13:00,Dewa United,Persepam Madura Utd,70,9,21,63,37,37,63,FST
16/10/25,16:00,GOR Mahia,APS Bomet,82,7,11,71,29,32,68,FST
16/10/25,04:00,CDS Tampico Madero,Mineros de Zacatecas,55,27,18,34,66,70,30,FST
16/10/25,14:00,Oman Club,Ibri,68,11,21,72,28,30,70,FST
16/10/25,16:20,Al-Khabourah,Al-Nahda,27,7,66,29,71,66,34,FST
16/10/25,22:30,General Caballero JLM,Club Atlético Tembetary,60,17,23,66,34,37,63,FST
16/10/25,02:00,Sporting Cristal,Universitario de Deportes,6,45,49,33,67,60,40,FST
16/10/25,18:30,FK Csikszereda Miercurea Ciuc,CFR Cluj,31,5,64,38,62,64,36,FST
16/10/25,01:00,Defensor Sporting,Penarol,35,7,58,73,27,29,71,FST
16/10/25,03:00,Orange County SC,San Antonio,52,32,16,36,64,57,43,FST
16/10/25,15:30,Nasaf,Kokand-1912,80,6,14,41,59,57,43,FST
