DATE,TIME,HOME TEAM,AWAY TEAM,HOME PER,DRAW PER,AWAY PER,UNDER 2.5,OVER 2.5,BTS,OTS,NAME
2025.16.10,00:00,Mirassol , Internacional,64,18,18,36,64,73,27,ACC
2025.16.10,00:00,Sport Recife , Ceara,64,18,18,68,32,32,68,ACC
2025.16.10,01:30,Atletico Mineiro , Cruzeiro,27,45,27,70,30,31,69,ACC
2025.16.10,01:30,Fortaleza , Vasco da Gama,57,21,21,30,70,66,34,ACC
2025.16.10,01:30,Santos , Corinthians,66,17,17,63,37,30,70,ACC
2025.16.10,23:00,Gremio , Sao Paulo,27,45,27,61,39,33,67,ACC
2025.16.10,00:20,Deportivo Pereira , Millonarios,51,24,24,62,38,41,59,ACC
2025.16.10,02:20,America de Cali , Junior,65,17,17,70,30,36,64,ACC
2025.16.10,02:30,AD San Carlos , Deportivo Saprissa,18,18,63,36,64,59,41,ACC
2025.16.10,03:00,Cartagines , Guadalupe FC,80,10,10,29,71,61,39,ACC
2025.16.10,17:30,Esbjerg , Hobro IK,55,22,22,39,61,63,37,ACC
2025.16.10,21:00,Atlético Vinotinto , Chacaritas,80,10,10,34,66,66,34,ACC
2025.16.10,21:00,Ind. Juniors , Gualaceo SC,27,46,27,39,61,66,34,ACC
2025.16.10,13:30,Olympic El Qanah , El Entag EL Harby,56,22,22,31,69,72,28,ACC
2025.16.10,13:30,El Dakhleya , Abu Qair Semad,18,18,63,32,68,62,38,ACC
2025.16.10,13:30,Aswan Sc , Asyut Petrol,43,28,28,32,68,62,38,ACC
2025.16.10,13:30,Maleyet Kafr El Zayiat , Tanta SC,21,21,57,31,69,60,40,ACC
2025.16.10,16:00,Masar , El Seka El Hadid,64,18,18,36,64,73,27,ACC
2025.16.10,18:00,Itesalat , Tersana,55,22,22,33,67,58,42,ACC
2025.16.10,20:00,Huddersfield , Bolton,26,26,48,34,66,69,31,ACC
2025.16.10,00:00,Argentina U20 , Colombia U20,60,20,20,68,32,40,60,ACC
2025.16.10,16:00,FC Ilves , KuPS Kuopio,67,16,16,31,69,58,42,ACC
2025.16.10,03:00,Marquense , Antigua GFC,23,23,54,33,67,70,30,ACC
2025.16.10,13:00,Dewa United , Persepam Madura Utd,64,18,18,32,68,66,34,ACC
2025.16.10,17:30,Tzeirey Tira , Dimona,17,17,66,31,69,65,35,ACC
2025.16.10,17:30,Kfar Saba 1928 , Shimshon Tel Aviv,58,21,21,31,69,66,34,ACC
2025.16.10,16:00,GOR Mahia , APS Bomet,79,10,10,32,68,73,27,ACC
2025.16.10,04:00,CDS Tampico Madero , Mineros de Zacatecas,60,20,20,33,67,56,44,ACC
2025.16.10,16:20,Al-Khabourah , Al-Nahda,22,22,56,29,71,67,33,ACC
2025.16.10,22:30,General Caballero JLM , Club Atlético Tembetary,57,21,21,65,35,30,70,ACC
2025.16.10,18:30,FK Csikszereda Miercurea Ciuc , CFR Cluj,20,20,59,31,69,62,38,ACC
2025.16.10,15:30,Fakel , Ural,25,50,25,40,60,72,28,ACC
2025.16.10,15:30,Torpedo Moskva , Veles,55,22,22,34,66,62,38,ACC
2025.16.10,18:00,Chernomorets , Kuban Kholding,60,20,20,29,71,66,34,ACC
2025.16.10,17:45,Atletico Madrid (W) , Man Utd (W),29,42,29,40,60,60,40,ACC
2025.16.10,20:00,Bayern Munich (W) , Juventus (W),75,12,12,36,64,67,33,ACC
2025.16.10,20:00,PSG (W) , Real Madrid (W),22,56,22,29,71,72,28,ACC
2025.16.10,20:00,Benfica (W) , Arsenal (W),15,15,70,29,71,43,57,ACC
2025.16.10,01:00,Defensor Sporting , Penarol,22,22,56,33,67,56,44,ACC
2025.16.10,03:00,Orange County SC , San Antonio,56,22,22,40,60,60,40,ACC
2025.16.10,15:30,Nasaf , Kokand-1912,79,10,10,37,63,73,27,ACC
